"sentence	label	source"
"We also found that institutions are associated with the marginal effects of diversity: Diversity reduces contributions to public goods as expected, but only when students come from segregated institutions.	1	ssc"
"Liebrand et al. (1986) concluded that cooperators may place a higher value than individualists on how well an interaction satisfies personal or social behavioral standards.	2	ssc"
"Because participants generally cooperate withand rarely defect againstcooperators in the iterated PDG, the resulting distribution of the number of rounds participants cooperate tends to be severely non-normal.	2	ssc"
"For both these reasons, along with the frequently large size of the effects we observe, dynamic partner updating deserves to be considered among the most promising levers for eliciting cooperation between humans, especially in informal settings.	2	ssc"
"In sum, the content analysis of communication provides further evidence that conflict expenditures in OPEN are lower than in the other treatments because subjects discuss and successfully implement turn taking behavior between groups.	3	ssc"
"The results show that uncertainty per se lowers individual but not group contributions, lagged marginal incentives significantly predict contributions, and individuals significantly react to own-deviations from average group contributions.	3	ssc"
"People who sacrifice on behalf of others like themselves are more prone to the self-interest illusion because they see the benefits as going to people who are like themselves in some salient way.	3	ssc"
"Behavior in the experiment will support the hypothesis that moral opinions are conditional on the behavior of others if subjects report personal normative beliefs increasing in the average contribution level of group members.	2	ssc"
"Result 3. The choice of receiving feedback about individual earnings rather than about individual contributions is associated with a decrease in one's contribution in the next period.	1	ssc"
"When the subject is faced with positive contribution to the public good by the computer, cooperative behavior can also be driven by inequality aversion and conditional cooperation.	2	ssc"
"Generational differences, maturation, and cultural shift imply that stereotype activation should not affect Millennial entitlement because the change in entitlement occurred in the past and is observed retrospectively.	2	ssc"
"In contrast, if the negativity bias argument applies to the VCM setting, then these two ratings may produce asymmetric levels of cooperation, as predicted by the hypothesis.	2	ssc"
"The similarity between single-player and multi-player versions of the IPD can provide a powerful research model as the reduction from two to one players reduces the number of uncontrolled and interacting variables involved in the prisoner's dilemma (Fantino, 2004).	2	ssc"
"Collectively, these informal sanctions provide a powerful mechanism for guiding social behavior.	3	ssc"
"However, when access is equally distributed, group members will be more willing to act in a way that advances the interests of the group rather than just their own (i.e., they will be more cooperative).	3	ssc"
"The contextual effects caused by the mean, range, and rank of the distribution confirmed our expectations that these relativity effects are due to some general underlying cognitive mechanisms.	3	ssc"
"The reasoning is that in high-trust societies, most people already contribute to the public good: The belief that most others can be trusted renders punishment an unnecessary cost to encourage contributions.	3	ssc"
"Such patrols not only deter free riding in itself but also generate information needed for the punishment of free riders, which is determined by an executive committee on the group level chaired by the group leader.	2	ssc"
"The gains or losses incurred by the players on each trial are dependent on choices made by both of them between two available behaviors.	3	ssc"
"Depending on the parametrization, this new game can have egalitarian equilibria as well as asymmetric solutions, leaving one player worse off.	2	ssc"
"When players have the option of punishing each other after the contribution stage, the effect of the moral messages on contributions becomes persistent: punishments and moral messages interact to sustain cooperation.	2	ssc"
"When numerical cheap talk was combined with a punishment option there were many cheap talk threats of punishment and cheap talk responses with higher cheap talk contributions.	3	ssc"
"Consider Pruitt and Kimmel's (1977) goal/expectation theory, which states that cooperation is more likely when trust is enhanced, but only if people also have a prosocial orientation (the goal to achieve mutual cooperation), if the trust explanation is true, then people with a prosocial orientation should contribute more when group identity is salient.	2	ssc"
"Second, deviation from the dominant strategy leads to a higher joint payoff for the group, and enough contributions produce an outcome that is Pareto superior to the dominant strategy equilibrium outcome.	3	ssc"
"Based on the above reasoning, we predicted that individuals who anticipate pride about acting fairly would be more likely to divide resources between themselves and another in a fair way, whereas those who anticipate regret about acting fairly would be less likely to do so.	1	ssc"
"Cooperative corporate culture can be nurtured by starting small, as Weber (2006)  shows experimentally with a coordination game.	2	ssc"
"In models based on income differences, if responders care for the utility of the other responder, then in addition to receiving disutility because the take authority has a higher income than they do, they will also receive disutility because the take authority has higher income than their friend does.	3	ssc"
"In fact, a recent agent-based simulation also suggests that gossip-based partner selection increases cooperation, whereas the strategy to defect after knowing about free riders' reputation decreases cooperation 18 .	1	ssc"
"When early humans used dogs as hunting partners, they most likely increased their intake of protein (Koster & Tankersley, 2012;Ruusila & Pesonen, 2004).	2	ssc"
"We found that communication still improves group performance even with increased difficulties in communication and limited information about the resource, but the level of benefit for having communication is reduced.	3	ssc"
"If it is true that antisocial punishment is based on the intuitive system and especially likely executed by individuals with a proneness to sadistic tendencies, then the inhibition of the intuitive system should reduce antisocial punishment in individuals with a proneness to sadistic tendencies.	2	ssc"
"The def change having occurred prior to the verbal response trial (B 2 ) suggests that negative attitude change, after harm, may inhibit retaliatory behavior  for Group DL and, to some extent, for Group N.	2	ssc"
"In conservation psychology, the accumulated evidence indicates that people's conservation performance is strongly determined by normative prosocial influences.	2	ssc"
"During donation choices, peer presence resulted in higher donations and enhanced activity in several social brain regions including the muff, TPJ, precuneus and STS.	3	ssc"
"This finding is consistent with publicly-traded firms making relatively larger investments in environmental performance to assuage the concerns of investors.	3	ssc"
"A decrease over time is consistent with game-theoretical predictions about conditional cooperation, since individuals are expected to eventually modify their behavior over time to maximize their earnings.	3	ssc"
"In a highly congested road, for example, at peak hours commuting car drivers are not willing to share the road or let other vehicles use the road space correctly, exacerbating the tragedy associated with the overuse of that road space, even if this is highly inefficient.	1	ssc"
"While the behavior of subjects in the low-reward conditions is more ambiguous, it is congruent with the speculation that persons are not highly motivated to do well in the PD game when earnings are small, irrespective of the extent to which the rewards are equitable.	3	ssc"
"In contrast, increasing individuals' awareness of their mortality apparently leads them to base their donation decisions on the social desirability of providing help, as reflected in the amount of help provided in the past (Experiments 1-3) and others' preferences (Experiment 4).	3	ssc"
"The first conjecture refers to the potentially positive effect that leadership signaling per se may have in catalyzing cooperation.	2	ssc"
"This implies that there are signs that moving beliefs may have been one of the channels through which priming affected contributions, but this channel seems to be surprisingly weak and statistically insignificant.	2	ssc"
"If the memory advantage for expectancy-incongruent information is abolished under cognitive load, our ability to successfully engage in social cooperation would be impaired because this type of memory is essential for correcting maladaptive behavior tendencies.	2	ssc"
"We present a novel laboratory reciprocity experiment (the double-dictator game with sorting) and show that failure to account for external motives leads to a significant overestimation of internal motives such as fairness and altruism.	3	ssc"
"Tokens kept have a private value while tokens invested in the public fund generate a 'public good' return by transferring income to the contributor and the rest of the players.	3	ssc"
"Intuitively it can be expected that the tendency to defect will increase with group size N and costs K, and will decrease with the incentive U.	2	ssc"
"In line with these predictions, Pellegrini & Long (2002) have observed an initial increase in aggressive competition as adolescents moved from primary to secondary school, and bullying behavior appeared to mediate dominance status during this transition.	3	ssc"
"Isaac and Walker (1988b) present experimental evidence that the ability to talk among group members participating in a public goods game leads to increased cooperation in the form of higher contributions and lower free-riding.	3	ssc"
"This conditional behaviour may even inhibit the process of discovering the profitable strategy.	2	ssc"
"Attributing human character- istics and motivations to nonhuman agents increases the ability to make sense of an agent's action and reduces uncertainty.	3	ssc"
"Our broad conclusion is that, while social desirability matters, the way it matters subtly depends on the social desirability personality type, and this in turn affects the social and experimental perceptions of what is demanded.	3	ssc"
"The results show that cooperation was higher when people could leave bad partners versus when they could not.	2	ssc"
"When the first mover cooperated there is a clear decline in cooperation as scores in perspective taking increase.	3	ssc"
"(If commitments are more than just con-  .20 tracts with particular people, but are also prebehavior choices to behave in a particular way, such a correlation will occur even after a switch has been made and the contractual relevance of the people to whom the commitments were made has been removed.)	1	ssc"
"Cook and her colleagues examined another condition of PD/D in which two players were randomly matched in each trial, and found that the positive effect of the opportunity to separate trust and cooperation provided by the PD/D requires that the game be played between particular partners repeatedly.	3	ssc"
"It might be the case that the resources contributed by the group members be as costly as resources arriving from outside of the community, but when states have limited funds and personnel, and when communities can derive other kind of gains from, say, participation in self-governing systems, such as increase in trust, social networks and ties, the comparison of externally imposed regulation systems to self-governance deserves also a policy level inquiry.	2	ssc"
"These subjects condition their contribution on the other group members' contributions and their willingness to contribute to the common project increases with the contributions of the other group members.	3	ssc"
"Specifically, with the addition of the G allele on rs237887, self-reported positive emotional reactions significantly decreased (see Figure 1).	3	ssc"
"It is now well established that imagined contact can facilitate more positive intergroup attitudes and friendship-related emotions (Crisp & Turner, 2009).	2	ssc"
"If all participants adopt the strategy of never using the bus then they will each receive an earning of £25.	2	ssc"
"But with simultaneous decisions, the risk that others might not cooperate can lead players to defect (the risk-dominant equilibrium).	2	ssc"
"In this line of thought, individual utility arise not only from material outcomes but also from the comparison of own and other people's pay-offs.	3	ssc"
"A natural explanation for the limited capability of a leader's signal to influence followers' beliefs under heterogeneity is the lack of followers' trust in the relevance of the signal to participants who do not share the religion of the leader.	3	ssc"
"In other words, a dictator is more likely to make a fair offer if he/she expects the audience to observe their choice.	1	ssc"
"By taking the view that a confluence of individual and contextual factors induces aggressive behavior, we explore how individual proclivities for aggression and environmental circumstances conducive to aggression e neither of which are particularly rare in isolation e must co-occur to create the comparatively rare expression of aggressive behavior.	2	ssc"
"Social marginalization or even exclusion is that cost, and unless the personal payoffs for defection are extremely large, few group members are willing to pay that cost.	3	ssc"
"Consequently, our results indicate that emoticons mainly affect behavior through the communication channel provided with it (feedback as pre-play communication).	3	ssc"
"An idealistically cooperative voice raised in a context that does not offer substantive advantages for cooperation may not be persuasive.	2	ssc"
"First, if women were more unconditionally cooperative than men, they should contribute more to the public good than men even when controlling for expectations.	2	ssc"
"Conducting the experiments in the structured and formal setting of an experimental laboratory decreases cooperation among our subjects.	3	ssc"
"This is to be expected given the plausible assumption that the moralistic punishment by the partners had served to increase participants' willingness to cooperate in Experiments 1 and 2 (consistent with Fehr & Gächter, 2002).	2	ssc"
"Although punishment may be used to regulate the members of the in-group, the evidence presented here suggests that it is often driven by intergroup biasleading to harsher punishment of out-group members.	2	ssc"
"Beyond the social dilemma game, it is expected that if happiness is displayed, a cooperative in contrast to a self-interested message will more likely lead to meeting up with the other.	2	ssc"
"These 2 features make Jan and Marcia socially interdependent, and the rank order of outcomes available to each of them will constitute a Prisoner's Dilemma.	3	ssc"
"Here we present a theory of why (and for whom) intuition favors cooperation: cooperation is typically advantageous in everyday life, leading to the formation of generalized cooperative intuitions.	3	ssc"
"When groups contributed more than 125 total tokens, efficiency was reduced because contributions over the minimum were not returned to individuals and were thus wasted.	3	ssc"
"In a simultaneous PGD, risk-averse prosocials defect more than risk-seeking prosocials do because risk-averse prosocials are more worried about losing their endowments than their risk-seeking counterparts.	3	ssc"
"Yet, when group identification was high, both leader types appeared to be equally efficient.	2	ssc"
"When there is no privately provided public good, subjects can cooperate only through paying taxes.	3	ssc"
"Of primary interest in this context is the latter interaction: block-ofrcd subjects who had participated first in the Paddle Game declined less in cooperativeness than those who had not, and tit-for-tat subjects with prior Paddle Game experience increased more in cooperativeness over trials than those without such experience.	3	ssc"
"The refined approach builds on key tenets of social identity theory to argue that identity affects cooperation by leadings actors to maximize ingroup outcomes and minimize ingroup inequalities.	3	ssc"
"We propose that it is because task-related and task-unrelated communications activate different norms.	3	ssc"
"This is evidence that is consistent with the hypothesis that the Perfect Strangers treatment affects qualitative behavior, in the sense that it elicits more subjects to focus on the zero contribution response.	3	ssc"
"It is therefore possible that the higher rates of cooperation in PD are (partly) due to the smaller size of the action set.	1	ssc"
"Hence, it is attractive not to purchase a TV-license, but if too many do so, the good may not be provided at all.	2	ssc"
"In this, greater Black cooperation in this social dilemma may in part be the result of coping strategies developed by Black students to overcome social-structural and institutional hurdles faced by students of color.	2	ssc"
"5. Stability: Groups may be more stable when entry is restricted compared to the other two conditions if subjects are able to generate cooperation.	2	ssc"
"Gaining from the public good provided by their group, subjects increased their initial budget of 200 Rs by 59%.	3	ssc"
"This suggests that learning interdependence only as outcomes are experienced over time, as is typical in the real world, may hinder realizations that cooperation will build the trust of others and even increase one's own well-being in the long run.	2	ssc"
"Specifically, we expect authority contribution leaders to give more than randomly selected contribution leaders both because they recognize the positive influence that they can exert on others and because more of the mechanisms that make contribution leaders influential may be relevant when a local authority leads.	2	ssc"
"People may voluntarily contribute to a public good because they feel morally obligated to assist others in a common cause or because they realize that contributing will help the group as a whole.	2	ssc"
"Policies like the Pigouvian subsidy ignore these non-Nash behaviors, and the result is that inefficient under-extraction is exacerbated in our context.	3	ssc"
"When designing emotional agents we have shown how the addition of mood can be used to enhance the decision-making aspect of that agent.	3	ssc"
"Furthermore, we believe that participants who punish cheaters are those who espouse the state of mutual cooperation as a goal and thus might feel guilty for not punishing cheaters and thus failing to promote mutual cooperation.	2	ssc"
"Clearly, the salience of social categories may be important in order to create cooperation within groups (e.g.	2	ssc"
"Alternatively, motivational factors may diminish children's cooperative reasoning and actions in the face of personal costs.	2	ssc"
"Both effects should cause increase in public-good provision at least at level 1.	2	ssc"
"Second, it was concluded that highly threatening situations minimize the effects of idiosyncratic motives, perhaps arousing a common defensive motive.	3	ssc"
"This was because, in the case of Colombia, their subsistence depends on the fishery, which is not ecologically productive.	2	ssc"
"It was concluded that the high degree of competitiveness typically found in PD game studies may be largely a function of the isolation imposed on the subjects by the experimenter.	2	ssc"
"Without data on both expectations and contributions, it can be difficult to identify the strategies adopted by participants in economic games, a necessary step to test fully theories of cooperation.	2	ssc"
"Large coalitions mean few outsiders but, at the same time, high free-rider benefits if the coalition members fully internalize their mutual benefits.	3	ssc"
"If there were no time value, then there would be no advantage to hiring an agent first (since the other party would respond by hiring an agent instantaneously), and therefore a prisoner's dilemma could not exist.	2	ssc"
"Second, the absence of an effect of Openness might also be driven by statistical reasons, due to the structure of the MPT model: Parameter e is defined conditional on non-selfish behavior, which leads to fewer trials per person (and hence a lower statistical efficiency) for the estimation of parameter e than for parameter s.	3	ssc"
"It is the product of an evolutionary game in which intragroup cooperation enhances one's reputation within the group (Yamagishi & Mifune, 2008).	3	ssc"
"If participants in the Public Goods Game exhibit loss aversion, they will react more strongly to the prospect of being punished than to potential rewards; thus making punishment the more effective enforcement mechanism.	3	ssc"
"Consequently, the payoffs of free-riders in SFI decrease and over the periods, participants in SFI experience the typically observed collapse of cooperation in repeated social dilemma interactions (Fig. 1).	3	ssc"
"ecause sacrifice increases the relative price of private production, it can screen freeriders from high-sacrifice groups while inducing the H-types to substitute towards more group investment.	3	ssc"
"The results of the present study constitute, in a way, a return to the idea that fairness judgments are not affected by dilemma type, although we now suggest that it is the presentation of decisions in the dilemma types that induces the focus.	1	ssc"
"We find that in the presence of conditional cooperators, common knowledge does enhance efficiency mostly because the advice left in this treatment is more exhortative.	3	ssc"
"This improves the earnings for those groups but the lowest earnings are not too different and this pulls the overall average earnings down to look more similar across treatments.	3	ssc"
"In our study, because of the presence of a sanctioning system, it may have occurred to people that group members would defect if it were not for the sanctioning system.	2	ssc"
"The maintenance of social norms often depends on external enforcement, as in the absence of credible sanctioning mechanisms prosocial behaviour deteriorates quickly.	3	ssc"
"Threat of revenge induce more deliberation on punishment and reduces other perverse punishment, which will have a positive impact on cooperation.	3	ssc"
"An important consequence of this increase in average effort is that the aggregate monetary payoff increases by 40% even if one takes the payoff reductions that result from actual punishments into account.	3	ssc"
"Individual-scale variables like wealth and education may affect the costs of public goods provisioning or the benefits of short-term defection, and so wealthier and more educated individuals who can obtain resources more readily can expect to be more generous.	2	ssc"
"The upshot of these comments is that large churches as well as small churches must create a sense of belonging if they are to mitigate members' free riding tendencies and survive.	3	ssc"
"This result suggests that language activates group norms in a heterogeneous fashion: if different people's latent identities differ they can respond in very different ways to identical linguistic cues.	1	ssc"
"Thus, moral judgments were an effective and efficient mechanism for fostering cooperation, solidarity, generosity, trust, and trustworthiness.	3	ssc"
"The members of such societies have strong incentives to innovate and to make physical and human capital investments, thereby contributing to socio-economic prosperity and overall welfare.	3	ssc"
"Emotional energy is, thus, the result of both the euphoria of contagious public gatherings, the ecstasy of sexual encounters, the bonding of friendly exchanges, and it is an outcome of humiliating experiences, heated arguments, and violent episodes.	3	ssc"
"Violent media may cause viewers to perceive greater anger and less gratitude during a cooperative task and as such be less inclined to cooperate.	2	ssc"
"When the objective incentives remain identical, these studies showed that framing the dilemma in terms of ""taking from"" instead of ""contributing to"" increases cooperation (Brewer and Kramer, 1986).	3	ssc"
"Research also shows that when people adopt a more abstract or higher construal level (Trope & Liberman, 2010)-that is, they feel more psychological distance-they show more pro-self-orientation, leading them to engage in behaviors that fit with the social motivation they endorse (Giacomantonio, De Dreu, Shalvi, Sligte, & Leder, 2010).	2	ssc"
"Although the intention behind this sanctioning system is to make garbage reduction relatively more attractive, the sanctioning system also may unintentionally cause dumping to become more attractive.	2	ssc"
"Through such mechanisms, a deliberation treatment might increase cooperation in the second stage of a sequential prisoner's dilemma, contrary to the prediction of the SHH.	2	ssc"
"However, the non-monotonicity between observability and deterrence we observe is troubling, because it suggests that simply increasing the ability to monitor outside threats may not lead to better outcomes, and it leaves us unsure about what level of observability is required to generate better outcomes.	1	ssc"
"Despite the interesting balance of incentives provided by introducing competition in the workplace -on one hand individual workers may exert more effort to win promotion or make more money while on the other overall production might suffer because of the lack of cooperation among workers -there has been remarkably little empirical work estimating the effect of competition on workplace cooperation.	2	ssc"
"When everyone has made a choice, the outcome and the choices of the other members of your committee are revealed, and this determines your earnings for the match.	3	ssc"
"More specifically, the MCL may be higher in the VCM with real-time contributions simply because people tend to contribute more when they are observed, even if the observers' actions are not affected by this monitoring.	2	ssc"
"These were participants with little or no experience from economic games, because, according to the SHH, there will be a negative deliberation effect on cooperation only for subjects with limited experience from economic games and other ""artificial lab environments"" (Rand et al., 2014).	2	ssc"
"This earlier experience, we find, causes the players to update their expectations, leading more groups to choose the tipping game compared to the treatment in which groups lack this experience.	3	ssc"
"Acting for sacred values, collectively, provides a record of cooperative action and thus offers evidence of cooperative responses downstream.	3	ssc"
"In other words, acceptance would be more common if the subjects' expectations were met because, although a shared concept of fairness exists, fairness is sensitive to different factors (personal, situational, and social) that influence expectations and fairness perception.	1	ssc"
"Because the cooperate-cooperate outcome produces more wealth than any other, optional entry will increase social welfare.	3	ssc"
"Locus of control fosters cooperation for internals with high levels of cooperative education because those people are able to use their background as a means towards an end in that they believe that they can influence their desired outcomes.	3	ssc"
"competitive individual) task led to less persistence on a subsequent task.	3	ssc"
"Because there is attention to the content of the choices, WCLD becomes an affective version of TFT rather than a mere mimic.	3	ssc"
"However, as an adaptation of beliefs to feedback is likely to occur, we may expect in line with the adaptive conditional-cooperation conjecture (Neugebauer et al. 2009) that the contributions positively respond to the past continuation-payoff differential.	2	ssc"
"The very existence of a government that can promulgate and enforce regulations to deter free riding while acting as a faithful agent of its citizens depends on voluntary pro-social acts such as citizen scrutiny of politicians' actions, self-education about political issues, and making the effort to vote in elections.	2	ssc"
"Individually rational and selfish behavior thus leads to Pareto-suboptimal outcomes, rendering the one-shot PD a classic example of a social dilemma [1,2].	3	ssc"
"Because the profits of having a large herd accrued exclusively to the individual herdsman, whereas the costs in terms of exceeding the carrying capacity of the common were incurred collectively by all herdsmen, each herdsman could gain wealth by grazing increasingly large herds on the common.	2	ssc"
"Our study tests why discounting a belief in free will increases the likelihood of uncooperative behavior.	3	ssc"
"In the absence of external cooperative incentives, people often choose to rely selectively on others with whom they share a group membership (e.g., Brewer, 2000Brewer, , 2008;;Packer & Kugler, 2017).	1	ssc"
"They produce evidence to support the notion that a greater MPCR distance increases contribution by making the gains from cooperation in the social dilemma more salient for all group members. 18	3	ssc"
"The groups convened in separate adjacent classrooms to prevent communication between groups.	3	ssc"
"A possible explanation is that the cooperation norm is more salient in the former than in the latter, due to the fact that in ""public,"" everyone observes punishments for norm violations.	3	ssc"
"The present findings complement this growing literature by showing that people are actually willing to forgive an incident of noise, as long as the partner communicates about noise and clarifies the actual (benign) intentions.	2	ssc"
"Similarly, a pro-social subject (again defined by his decisions in the experimental choice set) would tend to make slower selfish decisions and faster pro-social decisions.	1	ssc"
"First, the higher the payoff foregone by a freerider when not receiving rewards, the more likely he/she is to act (more) cooperatively in the social dilemma game in order to attract rewards.	1	ssc"
"We speculate that when members of successful groups made their investment choices, they conformed to an inferred-but illusory-norm of ""cooperativeness"" within the group.	2	ssc"
"However, because condition SQ6 is played after the subject gains much experience with the task, and in particular after experiencing the fifth position in condition SQ5, we anticipate fewer violations of the model in condition SQ6 than in condition SQ in experiment 1. METHOD Subjects.	2	ssc"
"The significant positive coefficient of Negative deviation of j in the first two regressions reveals that the greater the extent of free riding is, the greater is the likelihood and severity of altruistic punishment in the Baseline treatment.	3	ssc"
"A second and related implication is that when the CPR range ? ? ? increases beyond a certain threshold, the individual requests will increase too.	3	ssc"
"Under naturally occurring circumstances, search costs and switching costs, as well as fluctuations in individual performance, tend to delay regrouping.	1	ssc"
"Berkowitz (1960) has demonstrated that unexpected frustrations produce more hostility than expected frustrations and, what is more important for the study reported here, that subjects who expect hostility and receive friendliness will reveal a greater trend toward friendliness than those subjects who have a reason to expect friendliness.	3	ssc"
"We found that when people's mortality was not called to their attention, a need-focused appeal had more influence on their donation decisions than a bandwagon appeal.	3	ssc"
"Longer cycles allow a better identification of strategies, so as cycle duration increases a larger strategy set is needed to fit a given number of observations.	3	ssc"
"Similarly, providing feedback on how one's energy use compares with one's neighbors had reduced consumption among American liberals but may have had the opposite effect among conservatives (80).	2	ssc"
"Evidence suggests that friendships are impaired by social anxiety disorder (SAD) (Rodebaugh, 2009).	3	ssc"
"These models suggest that one's desire to help another person depends on one's beliefs about how helpful that other person is.	2	ssc"
"This allowed them to condition their minimum proposal on the size of the coalition such that the internalization ratios a(k) may depend on the coalition size.	2	ssc"
"The persistence of identity activation may depend on many things, including the strength and complexity of the initial activating cue and the presence of other identity-congruent cues in the environment.	2	ssc"
"Research on legitimacy of authorities has shown that perceived legitimacy, in particular a shared sense of legitimacy, creates voluntary compliance with norms (ZELDITCH and WALKER 1984;TYLER 1997).	3	ssc"
"In other words, those subjects who showed a greater parochialism effect for contributing showed a greater self-interest illusion when the gain for their group was a loss for the other group.	3	ssc"
"Here we show that, unlike material sanctions, moral judgments do not result in cycles of recrimination and tend to ""crowd in"" interpersonal trust, trustworthiness, and generosity.	3	ssc"
"Previous research indicates that people who strongly identified with the in-group are more competitive toward the out-group (e.g., Chase, 1992).	2	ssc"
"This leads to a 'fairness' scenario in which the wealth of richer subjects is invested in their local network, allowing poorer neighbours to gain wealth.	3	ssc"
"Allowing individuals to punish their peers for socially bad behavior can improve cooperation in groups and sometimes allow them to achieve more efficient outcomes in social dilemmas by instilling positive social norms (Ostrom 1990;Fehr and Gaechter 2000;Chaudhuri 2011 provides a recent survey).	2	ssc"
"Our results show that social ties between group members influence both cooperation and norm enforcement -creating substantial differences between M G and SG.	1	ssc"
"These findings, coupled with the fact that there is widespread mis-reporting of token values are suggestive of why groups are unable to use the 'token revelation' stage for much gain in efficiency.	1	ssc"
"In addition, results from the laboratory experiments reveal that subjects donate less when they are aware that an individual could have announced support but chose not to do so.	2	ssc"
"For example, one study showed that when perceived moral levels were lower than participants' actual moral levels, the moral licensing effect resulted in reduction of the frequency of ethical behaviors, and when participants perceived higher moral levels, they showed an increase in ethical behavior [47].	3	ssc"
"Due to random encounters, this initial defection will spread at random throughout the economy.	2	ssc"
"Of course, second graders also shift to A2 or B2 choices, and as soon as one player does so, the chances are high for retaliation on the part of the other.	2	ssc"
"Due to the missing information on individual evasion of other group members, there is no potential for a contagion effect in the baseline treatment.	3	ssc"
"Information enables players to decide whether to trust the others in the group and cooperate, once they are aware that cooperation can achieve a superior outcome.	2	ssc"
"For example, past research has shown that individual differences in social value orientation (SVO), a measure of concern for both self and others outcomes in interdependent social interactions (Messick & mcclintock, 1968), is able to predict contribution to public goods (e.g., Stouten, De Cremer, & Van Dijk, 2005. cf. Parks, 1994), even when defection is objectively the most economical course of action (Komorita & Parks, 1996).	1	ssc"
"The amount of communication allowed in a game thus appears to be a decisive factor in clarifying and specifying the contradictory evidence on sex differences in cooperation.	2	ssc"
"Namely, the sequential ordering of the choices that are available to and exercised by interdependent actors, including who makes the opening move, can markedly influence subsequent social decisions.	2	ssc"
"At the same time, campaigns for blood donation might benefit from clarification about who is eligible to donate and from efforts to reduce fear of the process of drawing blood.	2	ssc"
"As one can see, accounting for the treatment effect of the incentives inherent in these jobs further reduces the differences in the job category point estimates.	3	ssc"
"Previous research has shown that behavior aligns with self-interest only when self-interest is salient.	2	ssc"
"Windfall gains (e.g., winning the lottery) may lead to greater altruism, but wealth attained through participation in a market economy may not, since as Melvin Lerner and James Meindl (1981:219) note, ""coming to the aid of a person in need and sensitivity to their deservingness will occur if such responsiveness does not pose a threat to the actor's own deservingness.""	2	ssc"
"Taken together, our results illustrate the importance of equality as a normative criterion and how the efficacy of communication is reduced in the presence of normative conflict.	3	ssc"
"Observed individual differences in the resting cortisol levels and social memory performance under the social stress condition may be due to individual differences in HPA reactivity, personality traits, and the level of GR/MR expression in the hippocampus [10].	1	ssc"
"The fact that the cooperative robot always followed through with the stated intent should have enhanced the perception of it as trustworthy.	2	ssc"
"Therefore, these results suggest that as people interact during repeated social dilemmas, over time men become increasingly more cooperative than women.	2	ssc"
