sentence,label
"Among individuals with HIV in rural Kenya and Uganda, implementation of  community-based testing and treatment was associated with an increased proportion of  HIV-positive adults who achieved viral suppression, along with increased HIV diagnosis and initiation of antiretroviral therapy",1
"PA decreased more steeply over time among trauma-exposed women [...] versus women without trauma exposure, adjusting for potential confounders.",3
"Liraglutide added to high-dose insulin therapy improved glycemic control, decreased body weight, and enhanced treatment satisfaction in this difficult-to-treat patient population with  high-dose insulin requiremet",2
"Emphysema-like lung on CT was associated with all-cause mortality among persons without airflow obstruction or COPD in a general population sample, particularly among smokers.",1
hydrocortisone therapy did not reduce mortality and was associated with an increase in adverse effects,3
we found African Americans were no different from Whites in seeking health information.,3
"Use of CAD during screening mammography among Medicare enrollees is associated with increased DCIS incidence, the diagnosis of invasive  breast cancer at earlier stages, and increased diagnostic testing among women  without breast cancer.",1
These results indicate a U-shaped association between fish consumption and all-cause mortality,1
"Results show that persons with PDs are significantly more likely  to use and misuse alcohol, although associations vary across gender.",2
This study suggests that moderate alcohol use in men is not beneficial for  heart function via QT interval or heart rate but could be detrimental.,1
We  describe an outbreak of fungal meningitis after epidural or paraspinal  glucocorticoid injection with methylprednisolone from a single compounding pharmacy.,0
"The home visiting program reduced the recurrence of CPS maltreatment
report by 32% and increased the length of time between initial and additional CPS
reports.",3
GC doses below 5 mg were not associated with an increased risk of death,0
we did not find evidence of an increased risk of GBS and its recurrence among either paediatric (≤ 18 years) or adult (> 18 years) individuals within the 180 days following vaccinations of any kind,0
The risk of cholecystectomy was increased among women exposed to oral estrogen menopausal hormone therapy,3
Both asthma and wheezing were associated with MDE in the entire sample,1
"Overall, greater exposure to neighborhood foreclosures had mixed associations with cardiometabolic risk factors over time.",1
The list experiment generated an estimate five times greater than the only previous representative estimate of abortion in Liberia,3
We found evidence of disparities in access and use among adults with disabilities,3
L. reuteri 6475 reduced loss of total vBMD compared to placebo,3
"Sleep deficiency due to either sleep apnea or insufficient sleep duration is strongly associated with motor vehicle crashes in the general population, independent of self-reported excessive sleepiness.",2
The increase in beer excise tax was associated with a lower average annual firearm homicide rate in all states except Illinois,1
Hypertension appears to be associated with a doubling of the risk of future ESRD in an otherwise healthy adolescent population.,1
there was no significant difference in 4-hour survival between patients treated with the mechanical CPR algorithm or those treated with guideline-adherent manual CPR.,0
"In this large Scandinavian cohort, SGLT2 inhibitor use compared with DPP4 inhibitor use was associated with reduced risk of heart failure and any cause death, but not with major cardiovascular events in the primary intention-to-treat analysis.",2
"Even moderate overweight in young adulthood increases all-cause mortality and mortality after the diagnosis of CHD, stroke and cancer in men.",3
This large-scale nationwide population-based cohort study is the first to demonstrate that treatment with DPP-4 inhibitors is associated with lower risk of peripheral arterial disease occurrence and limb amputation in patients with type 2 diabetes mellitus.,2
Care for older men with cancer in the VHA system was generally similar to or better than care for fee-for-service Medicare beneficiaries,1
Our finding suggests that elevated C-peptide levels may be a predictor of death.,1
"In this cohort of patients with type 2 diabetes, influenza vaccination was associated with reductions in rates of admission to hospital for specific cardiovascular events.",2
Varenicline in combination with NRT was more effective than varenicline alone at achieving tobacco abstinence at 12 weeks (end of treatment) and at 6 months,3
"Among women who received Tdap vaccination during pregnancy, there was no increased risk of acute adverse events or adverse birth outcomes",0
The use of PubMed search filters improves the efficiency of physician searches.,3
"Women attending a collaborative program of interdisciplinary maternity care were less likely to have a cesarean delivery, had shorter hospital stays on average and were more likely to breastfeed exclusively than women receiving standard care.",2
5ARI use was not associated with developing high-grade or lethal prostate cancer,0
Higher 24-hour urinary oxalate excretion may be a risk factor for CKD progression and ESRD in individuals with CKD stages 2 to 4.,1
"In this cohort analysis of Medicare beneficiaries, use of mechanical aortic valves was associated with a higher risk for death on the date of surgery and within the 30 days after surgery compared with bioprosthetic aortic valves among patients who underwent concurrent AVR and coronary artery bypass graft but not isolated AVR.",2
Long-term silica dust exposure was associated with substantially increased mortality among Chinese workers,2
biomarkers indicating diminished ovarian reserve compared with normal ovarian reserve were not associated with reduced fertility,0
The results indicate that a participatory community and health system intervention designed to tackle disrespect and abuse by changing the norms and standards of care is a potential strategy to improve the treatment of women during childbirth at health facilities.,1
"Arginase inhibition improves endothelial function in patients with poorly controlled T2DM, which is maintained following glucose optimization.",3
There were no significant association between current Helicobacter pylori infection and different tobacco product user groups.,0
Warfarin users who are prescribed high-risk antibiotics are at higher risk for serious bleeding events.,2
The TriClip system appears to be safe and effective at reducing tricuspid regurgitation by at least one grade.,2
We find that paternal education is similarly important for reducing childhood undernutrition as maternal education and should therefore receive increased attention in the literature.,0
Off-label use of prescription drugs is associated with ADEs.,2
Income satisfaction appeared to be a possible contributing component to the causal pathway between income and mortality.,1
Treatment with a steroid plus antiviral agent resulted in significantly higher recovery rates than steroid therapy alone in patients with initially severe Bell's palsy,3
This study provides compelling evidence for a link between pSTAT3 and trastuzumab resistance in HER2-positive primary breast cancers.,3
"Composite neurological symptom scores improved to 1·0 (1·2, p=0·0006) 3 days after immunoadsorption.",2
Our intention-to-treat estimates show that for short-term welfare recipients FDP decreased the prevalence of anxiety by 40%,3
there was a statistically significant but modest association between higher frequency of digital media use and subsequent symptoms of ADHD,1
"Increasing red meat consumption over time is associated with an elevated subsequent risk of T2DM, and the association is partly mediated by body weight.",3
Vertebroplasty is superior to placebo intervention for pain reduction in patients with acute osteoporotic spinal fractures of less than 6 weeks' in duration.,3
"These data indicate that higher whole grain consumption is associated with lower total and CVD mortality in US men and women, independent of other dietary and lifestyle factors.",2
This study provides further evidence that the lower mortality associated with volunteering is unlikely to be due to health selection or to residual confounding arising from unmeasured selection effects within households.,0
"In adjusted analyses, adolescent alcohol indicators predicted adulthood inconsistent condom use",1
We found no independent associations of perceived discrimination with risk of incident CV disease or HF hospitalization in this AA population.,2
"In this elderly population, the incidence of infective endocarditis around CRC diagnosis was substantially higher than around the diagnosis of lung, breast and prostate cancers",2
The human Y chromosome is associated with risk of coronary artery disease in men of European ancestry,2
"Among adults undergoing major surgery, complete handover  of intraoperative anesthesia care compared with no handover was associated with a  higher risk of adverse postoperative outcomes.",1
"Among hospitalized older patients with HFrEF receiving contemporary treatments for heart failure, digoxin use is associated with a lower risk of hospital readmission, but not all-cause
mortality.",0
"Insuring poor households for efficacious but costly and
underused health services significantly improves population health in
India.",3
"Remarriage following divorce is not associated with a reduced risk of depression identified by pharmaceutical treatment, compared with remaining divorced",0
"In critically ill children, withholding parenteral nutrition for 1 week in the ICU was clinically
superior to providing early parenteral nutrition.",3
There is no association between risk of early childhood cancers and estimates of the mother’s exposure to mobile phone base stations during pregnancy.,2
Prior receipt of 2008–09 TIV was associated with increased risk of medically attended pH1N1 illness during the spring–summer 2009 in Canada.,2
Medicare beneficiaries with higher utilization of primary care have lower CRC incidence and mortality,2
Processed meat intake was prospectively associated with  increased breast cancer risk.,3
Birth by CS is associated with a small increased risk of ADHD. However among siblings the association only remained for emergency CS.,1
"Compared with use of other second or third  line antidiabetic drugs, use of DPP-4 inhibitors, and possibly GLP-1 receptor  agonists, might be associated with an increased risk of cholangiocarcinoma in adults  with type 2 diabetes.",1
"High physical activity was associated with a lower risk of colon cancer; in mediation analyses, this association was accounted for (by Proportions of Explained Effect): waist circumference; the biomarkers soluble leptin receptor; and 5-hydroxyvitamin D",1
"In patients with STEMI, shorter  delay to PPCI is associated with lower risk for readmissions or outpatient contacts  due to CHF during follow-up.",2
"Results suggest a stress internalization process that, for the first time, links parental incarceration with obesity among women.",1
was associated with a daughter’s earlier transition to breast and pubic hair stage 2+ in comparison with girls whose mothers had pregravid BMI <25. These associations were attenuated and not statistically significant after adjustment for covariates. These findings suggest that exposure to maternal obesity and hyperglycemia places girls at higher risk of earlier pubarche,0
"The  discharge of select adult patients directly home from the ICU is common, and it is  not associated with increased health care utilization or increased mortality",0
Introduction of multidisciplinary care was associated with improved survival and reduced variation in survival among hospitals.,2
"The implementation of systematic cross-checking between emergency physicians was associated with a significant reduction in adverse events, mainly driven by a reduction in near misses.",2
"Despite emergence and nationwide spread of CA-MRSA since 1999 in the United States, the incidence of NLEC in Olmsted County was lower in 2013 than in 1999, particularly in females. This suggests that CA-MRSA is not a significant cause of NLEC and that NLEC cases are seasonally distributed.",2
We find that an increase in local house prices is associated with a positive effect on the physical health of outright owners and a negative effect on the physical and mental health of renters.,2
"Patients with psoriasis had a higher prevalence of coronary  atherosclerosis (CCSÂ >Â 0; 28.6% vs. 3.9%, PÂ <Â 0.01), and a higher degree of coronary  atherosclerosis estimated by the mean CCS (67.4Â Â±Â 349.2 vs. 0.5Â Â±Â 3.0, PÂ <Â 0.05)  compared with controls.",1
we found a statistically significant inverse relationship in the age- and sex-adjusted  model,0
"Among older  patients using medium to high doses of prednisolone, alendronate treatment was  associated with a significantly lower risk of hip fracture over a median of 1.32  years.",2
"After controlling for such factors, GWG was generally unassociated with child development.",0
"In critically ill children, withholding parenteral nutrition for 1 week in the ICU was clinically superior to providing early parenteral nutrition.",3
CHA2DS2-VASc score is directly associated with the incidence of pulmonary embolism in atrial fibrillation.,1
Receipt of antibiotics by prior bed occupants was associated with increased risk for CDI in subsequent patients.,1
lower,1
Individuals with high plasma furin concentration have a pronounced dysmetabolic phenotype and elevated risk of diabetes mellitus and premature mortality.,2
Poorer understanding is associated with higher mortality.,2
"In summary, 5.0% of deaths among women and 9.5 % of deaths among men were attributable to alcohol in Denmark 2010.",1
The risk of developing anal incontinence increases after pregnancy and delivery.,3
"For patients with H1N1-related ARDS, referral and transfer to an ECMO center was associated with lower hospital mortality compared with matched non-ECMO-referred patients.",1
Fetoscopic laser coagulation of the entire vascular equator reduces postoperative fetal morbidity in severe twin-to-twin transfusion syndrome.,3
"Effective HAART is associated with lower incidence of HBV infection; however, even in the HAART era, incidence of HBV infection remains high among MSM",1
Our study did not show an increased risk of orofacial clefts with the use of corticosteroids during pregnancy.  Indepth investigation of the pattern of association between orofacial clefts and the use of dermatologic corticosteroids during pregnancy indicated that this result did not signify a causal connection and likely arose from multiple statistical comparisons.,3
Enrollment in sixth grade in 2010 and coadministration of adolescent vaccines at the first adolescent visit were significantly associated with completion of the vaccines required for Michigan's sixth graders.,0
"These results show that self reported engagement is not associated with the trajectory of cognitive decline in late life, but is associated with the acquisition of ability during the life course. Overall, findings suggest that high performing adults engage and those that engage more being protected from relative decline.",1
Hippocampal atrophy was associated with more subsequent depressive symptoms and with shorter-term worsening of symptoms in women.,0
"Among patients with gout, initiation of XOI was not associated with an increased or decreased cardiovascular risk compared with those with untreated hyperuricemia.",1
": High-dose oral multivitamins and multiminerals did not statistically significantly reduce
cardiovascular events in patients after MI who received standard medications.",2
People using oral bisphosphonates for the first time may be at a higher risk of scleritis and uveitis compared to people with no bisphosphonate use,1
"Leader-led battlefield ethics training positively influenced soldiers' understanding of how to interact with and treat non-combatants, and reduced reports of ethical misconduct.",2
"Thinness at birth or during infancy, and accelerated BMI gain during childhood/adolescence are associated with a pro-inflammatory/pro-thrombotic state in adult life.",1
These estimates suggest that NBCCEDP cervical cancer screening has reduced mortality among medically underserved low-income women who participated in the program.,1
Adults with dual sensory impairment may be at increased risk for decreased PA.,1
Newly Medicaid-enrolled children aged 3 to 8 years with IDD in Iowa were significantly more likely to have a later first dental visit.,1
"Compared to baseline, endline results demonstrated a significant difference in the total delay between the onset of child's illness and seeking external care, with intervention families having shorter delays.",2
"After controlling for sociodemographics (age, sex, race) and individual SES, associations between higher neighborhood deprivation and lower PA were strong and incremental in blacks, but less consistent in whites.",1
"In this study, adiposity-associated cancer risk was heterogeneous and varied by fat depot: VAT was not independently associated with incident cancer and LBF appeared to protect against cancer development.",1
L reuteri DSM 17938 did not benefit a community sample of breastfed infants and formula fed infants with colic.,3
"The method used at an unsuccessful suicide attempt predicts later completed suicide, after adjustment for sociodemographic confounding and psychiatric disorder.",1
"In this US urban, multi-ethnic population, elevated in utero Hg exposure was associated with a higher risk of OWO in childhood, and such risk was enhanced by maternal OWO and/or diabetes and reduced by adequate maternal folate.",3
"Implementation of additional non-medical risk assessment and preventive
strategies into general practices is feasible but did not decrease the incidence of preterm and/or SGA birth in the index
pregnancy in deprived urban areas",3
Antibody  response to LPS and flagellin was associated with a statistically significant  increase in the risk of hepatocellular carcinoma,0
"macrolide
antibiotics were not associated with a higher
30-day risk of ventricular arrhythmia than
nonmacrolide antibiotics",0
"Averaged across current English clinical practice and populations, varenicline is marginally more effective than combination NRT.",2
the  short-term risk for sustained ventricular tachycardia in patients with a prolonged  QTc who subsequently received levofloxacin was very rare.,1
"In MZ twin pairs, higher BMI was not  associated with an increased risk of MI or death but was associated with the onset  of diabetes.",0
"Frequent use of nutrition labels appears to be associated with lower consumption of
sodium and high-sodium foods in the U.S",0
"two-thirds of all deaths of smokers in their 50s,  60s, and 70s are caused by smoking",3
"Annual FPG and HbA1c variations have a strong association with diabetic nephropathy in
patients with type 2 diabetes",0
A modest reduction in depressive symptoms was more likely among spouses of hospice users than among spouses of non-hospice users,0
"In this large cohort, exposure to PPIs during the first trimester of pregnancy was not associated with a significantly increased risk of major birth defects.",1
"Cardiorespiratory fitness is a major determinant of common CIMT. Improved CRF does slightly, but not completely, abolish the adverse consequences of cardiovascular disease risk factors on common CIMT.",3
the findings of the present study provide the first evidence that the risk of unintentional overdose injury is related to the prescribed opioid’s duration of action.,2
the survival rate after out-of-hospital cardiac arrest was lower for patients residing on higher floors.,0
We found a nonlinear association of participation in PE class with beverage consumption,0
These findings suggest that the campaign to administer a third dose of MMR vaccine improved mumps outbreak control and that waning immunity probably contributed to propagation of the outbreak.,3
"This study suggests that low Apgar score is associated with higher risk of ASD, and in particular AD.",1
We observed that breastfeeding was independently associated with reduced childhood obesity for both HIV-exposed and unexposed children...,1
"The admission BSS, a simple inexpensive bedside nursing assessment potentially reflecting frailty and overall illness acuity, was independently associated with hospital and post-discharge mortality",1
"colorectal-cancer mortality was lower among patients who had had low-risk adenomas removed and moderately higher among those who had had high-risk adenomas removed, as compared with the general population.",0
Participation in the VHA Medical Team Training program was associated with lower surgical mortality.,0
Village-wide distribution of single-dose oral ciprofloxacin within 72 hours of case notification reduced overall meningitis AR.,3
"A reduction of 50% in the alcohol consumption was associated with a  decrease of 1,406 partly alcohol-attributable deaths (46%) and 37  alcohol-preventable deaths (3%).",3
"Although there was a high prevalence of current bisphos-phonate use among patients with atypical fractures, the absolute risk was small.",1
"IL-1Î² levels after  STEMI were strongly associated with impaired myocardial function and noninfarct LV  mass after 1 year, suggesting a potential role for IL-1Î² as a predictor of  maladaptive myocardial remodelling following reperfused MI.",1
"A population-based HPV vaccination program in schools significantly reduced cervical abnormalities for vaccinated women within five years of implementation, with the greatest vaccine effectiveness observed for the youngest women.",3
Children who were given CPR by a bystander had a significantly higher rate of favourable neurological outcome than did those not given CPR,3
"CHA2DS2-VASc score is directly associated with the incidence of pulmonary embolism in
atrial fibrillation.",3
"These results indicate a U-shaped association between ﬁsh consumption and all-cause mortality, particularly amongst women.",2
The Medicaid expansion did not appear to improve smoking cessation,3
"The modest associations of NSAID use with BPH risk in this cohort were probably due to confounding by indication, and NSAID use was not associated with BPH risk.",3
"Aside from  cardiovascular-disease mortality, the lowest mortality for most causes of death was  registered by residents of the poorest provinces.",0
participation  in the LDCT screening study was associated with reduced mortality from LC,0
Separation from a parent during childhood was associated with elevated risk for subsequent violent offending versus those who lived continuously with both parents.,2
The provision of PRAs in FHH assessments appears to motivate  participants to consider sharing their FHH with a healthcare provider,2
SHS  may contribute to increased blood lead levels in US children,1
Epicardial adipose tissue accumulation in patients with CKD  increases the risk of CV events independent of general adiposity,3
"Overall, no increase in risk of glioma or meningioma was observed with  use of mobile phones",0
"In patients with serious coronary heart disease  treated with clopidogrel, concurrent PPI use was associated with reduced incidence  of hospitalizations for gastroduodenal bleeding",0
"In the first population-based study on this  topic, we show that moderate neonatal hypoglycemia is associated with increased  risks of impaired neurodevelopment",0
Exposure to  violence and self-reported physical health were statistically associated with mental  health outcomes,0
PMI may have significantly  contributed to reducing the burden of malaria in SSA and reducing the number of  child deaths in the region,2
Obtaining a weekly PAI score of at least 100 was associated with lower mortality risk from CVD and all causes in individuals with CVD regardless of whether the current PA recommendations were met.,1
BNP is a strong predictor of mortality in older adults with Chagas disease,2
The findings suggest that participation in SNAP may help improve adherence to  treatment regimens among older adults with diabetes,2
Not wearing a helmet while cycling is associated with an increased  risk of sustaining a fatal head injury,0
The intervention did not significantly improve the primary outcome,1
L. reuteri 6475 reduced loss of total vBMD compared to placebo,3
"Compared with matched healthy nondonors, kidney donors had an increased risk of ESRD over a median of 7.6 years; however, the magnitude of the absolute risk increase was small",0
"For COPD morbidity, quartiles of increasing FEV1 decline
increased HRs (95 % CI) for individuals with FEV1 at or
above the lower limit of normal (LLN) but below 100 %
predicted, reaching 5.11 (2.58–10.13) for males, 11.63
(4.75–28.46) for females, and 3.09 (0.88–10.86) for never
smokers in the quartile of steepest decline. Significant
increasing trends were also observed for mortality and in
individuals with a baseline age B45",2
"In patients with atherosclerotic renal artery  stenosis, the change in eGFR after RAI was related to plaque composition classified  by VH-IVUS.",3
Varenicline in combination with NRT was more effective than varenicline alone at  achieving tobacco abstinence at 12 weeks (end of treatment) and at 6 months.,3
"Depression and antidepressant use for a mood indication are common among
young adult incident HD patients and associate with higher hospitalization rates during the first
year",1
"The modest associations of
NSAID use with BPH risk in this cohort were probably due to confounding by indication, and NSAID use was not
associated with BPH risk.",1
"In this Danish nationwide study, exposure to TNF-α antagonists among patients with IBD was not associated with an increased risk of cancer over a median follow-up of 3.7 years among those exposed.",1
"This large study using primary data collection found that
MF59 adjuvanted A/H1N1 influenza vaccine did not result in an increased
risk of adverse perinatal events and suggested a lower risk among
vaccinated women",3
"The findings provide support for an integrated model in which changes in DNA methylation, resulting from neighborhood crime, can result in an increase or decrease in gene activity which, in turn, influences depressive symptoms.",2
"Combination therapy with metformin and rosiglitazone resulted in better durability of glycemic control, and metformin plus intensive lifestyle intervention was intermediate but not superior to metformin alone.",3
"Using whole-exome sequencing, we identified a single low-frequency variant in the MODY3-causing gene HNF1A that is associated with type 2 diabetes in Latino populations and may affect protein function.",2
"This study provides further evidence that exclusive use of
cigar, pipes, and cigarettes each confers significant mortality risks",3
"In the pooled analysis of two population-based studies, serum testosterone levels were not associated with the QT interval, which could be due to a lack of power.",1
Our results suggest that feet are impenetrable to the alcohol component of vodka.,2
"This increase slowed down after retirement, most prominently for limitations in large muscle functions.",2
"The list experiment generated an estimate five times greater than the only previous representative estimate of abortion in Liberia, indicating the potential utility of this method to reduce under-reporting in the measurement of abortion.",3
Nonoptimal levels of LDL and HDL cholesterol during young adulthood are independently associated with coronary atherosclerosis 2 decades later.,2
"Our results support the hypothesis that higher levels of circulating CRP are associated with increased risk of ovarian cancer, indicating that the role of inflammation in
ovarian cancer requires further elucidation.",2
"Thirty-day postoperative mortality rates were 0%, 0.9%, and 0.8% for the low-risk, intermediate-risk, and high-risk surgical groups, respectively, and were not statistically different.",2
Moderate-intensity dancing was associated with a reduced risk for cardiovascular  disease mortality to a greater extent than walking.,2
"Alcohol consumption uniformly increases blood pressure and stroke risk, and appears
in this one study to have little net effect on the risk of myocardial infarction",3
"Breast cancer rates were higher among US- than among foreign-born Chinese (incidence rate ratio [IRR] = 1.84; 95% confidence interval [CI] = 1.72, 1.96) and Filipina women (IRR = 1.32; 95% CI = 1.20, 1.44), but similar between US- and foreign-born Japanese women.",1
A clear association is  observed between reduced availability of tap water and increased incidence of  suspected cholera in the entire town of Uvira in Eastern Democratic Republic of the  Congo.,2
"Our results showed, to our knowledge for the first time, that adherence to the DGA was as- sociated with lower total and cause-specific mortality in a low-income population, including a large proportion of African-Americans, living in the southeastern US",2
". Compared with the preimplementation period, there were
significant decreases in median times to final rapid test result (39.1 vs 22.4 hours, P < .001),
discontinuation of isolation (2.9 vs 2.5 days, P = .001), and hospital discharge (6.0 vs 4.9
days, P = .003), on average saving $13 347 per isolated TB-negative patient",3
"Among patients  with chronic HCV infection and advanced hepatic fibrosis, sustained virological  response to interferon-based treatment was associated with lower all-cause  mortality.",2
PMI may have significantly  contributed to reducing the burden of malaria in SSA and reducing the number of  child deaths in the region.,1
Higher PTX3 levels are associated with lower GFR and  independently predict incident CKD in elderly men and women.,2
Regression analyses controlling for enrollment differences indicated that intervention group mothers had significant improvements in 3 of 5 subscales and in total Adult- Adolescent Parenting Inventory-2 scores relative to the comparison group.,2
The responsive stimulation intervention can be delivered effectively by LHWs and positively affects child development outcomes.,3
"In patients receiving long-term HD, larger body size with more muscle mass appears associated with a higher survival rate",0
"Those with a higher neglect score by 7 y grew more slowly, with deficits through to adulthood. No associations were found for abuse over the longer period to 16 y. Deficits associated with early life neglect and household dysfunction might have implications for adult CVD risks",0
"Residential UNGD activity metrics were statistically
associated with increased odds of mild, moderate, and severe asthma exacerbations.",0
This study suggests that the protective effect from farm upbringing on subsequent asthma development could not be explained by selective migration.,2
"longer durations of NSAID and  acetaminophen use were associated with slightly higher risks of hearing loss, but  duration of aspirin use was not.",0
A monovalent rotavirus vaccine was highly effective against admissions for rotavirus diarrhoea in children aged less than 2 years in El Salvador and substantially reduced the number of such admissions in this low-middle income setting.,3
"Extracranial venous narrowing of greater than 50% is a frequent finding in patients  with multiple sclerosis, unaffected siblings, and unrelated controls.",0
"In this  cohort of Spanish individuals with elevated intake of fish and a high adherence to  the Mediterranean diet, consumption of blue fish and n-3 PUFA had a prospective  protective association with deficits accumulation",0
"Among hospitalized older patients with HFrEF receiving contemporary treatments for heart
failure, digoxin use is associated with a lower risk of hospital readmission but not all-cause mortality",1
"An estimated 23,000 emergency department visits in the United States every year are attributed to adverse events related to dietary supplements.",3
Birth by CS is associated with a small increased risk of ADHD,0
"We find that, among urban Chinese adults, those who have a higher level of happiness tend to have higher BMI, after extensively controlling for a constellation of individual sociodemographic and health attributes.",1
"After adjusting for sociodemographic and lifestyle
factors, a higher score on the plant-based dietary index was associated with lower insulin resistance (per 10 units higher
score: b = -0.09; 95% CI: - 0.10; - 0.08), lower prediabetes risk (HR = 0.89; 95% CI: 0.81; 0.98), and lower T2D risk
[HR = 0.82 (0.73; 0.92)].",0
We evidenced strong associations between AMY1 or AMY2 activity and lower BMI,2
"Pre-ART increases in Th17 and Th2 responses (e.g., IL-17, IL-4) and lack of proinflammatory cytokine responses (e.g., TNF-alpha, G-CSF, GM-CSF, VEGF) predispose individuals to subsequent IRIS, perhaps as biomarkers of immune dysfunction and poor initial clearance of CRAG.",3
"In chronic LBP associated with active discopathy, a single GC IDI reduces LBP at 1 month but not at 12 months.",3
"A diet characterized by regular consumption of all five food groups and by greater variety of
dairy, fruit, and vegetable subtypes, appears important for a reduced risk of diabetes.",2
"The following characteristics were strongly associated with  overall technical quality of care score: physician remuneration method (27.0; 95%  confidence interval [CI] 19.0-35.0), extent of sharing of administrative resources  (7.6; 95% CI 0.8-14.4), presence of allied health professionals (15.3; 95% CI  5.4-25.2) and/or specialist physicians (19.6; 95% CI 8.3-30.9), the presence of  mechanisms for maintaining or evaluating competence (7.7; 95% CI 3.0-12.4) and  average organizational access to the practice (4.9; 95% CI 2.6-7.2).",0
"Late-onset hypogonadism can be defined by the presence of at least three sexual
symptoms associated with a total testosterone level of less than 11 nmol per liter
(3.2 ng per milliliter) and a free testosterone level of less than 220 pmol per liter
(64 pg per milliliter).",1
"Starting antiretroviral therapy
later than guidelines suggest resulted in up to 15 years’ loss of life: at age 20, life expectancy was 37.9 (1.3), 41.0 (2.2), and 53.4 (1.2) years
in those starting antiretroviral therapy with CD4 count <100, 100-199,
and 200-350 cells/mm3
, respectively.",3
differences emerged suggesting worse health among those who gave birth,0
Having low serum selenium at the end of the first trimester was related to preterm birth and was independent of the mother having preeclampsia.,2
"A behaviourally-informed, very brief, physician-delivered opportunistic intervention is acceptable to patients and an effective way to reduce population mean weight.",3
"The presence of hemorrhoids is associated significantly with a long-term risk of developing
colorectal cancer or prostate cancer.",3
"Veterans with PTSD have an elevated risk of death from suicide, accidental injury, and viral hepatitis.",1
