sentence,True Label,Predicted Label,Source
"Cook and her colleagues examined another condition of PD/D in which two players were randomly matched in each trial, and found that the positive effect of the opportunity to separate trust and cooperation provided by the PD/D requires that the game be played between particular partners repeatedly.",3,2,ssc
"Then, the higher is the contribution of the human player required to achieve the non-cooperative optimum, the lower is the expected proportion of ambiguity averse choices.",3,2,ssc
"As a consequence, confounding effects such as reputation building through punishment or strategic reasons for punishing to increase cooperation in repeated interactions, as shown by Gächter et al. (2004) and Gächter and Herrmann (2009), can be excluded and a clear theoretical benchmark for standard preferences can be derived.",1,3,ssc
"Furthermore, the highest contributor in the group earned more prestige when the good was unattainable, suggesting an association between status and conspicuous cooperation (Hypothesis 3).",1,3,ssc
"Fear is associated with the goal to avoid risk, which in a social dilemma induces a tendency to avoid exploitation or loss.",1,3,ssc
The employers appeal to the strong reciprocity of the workers by being more generous as  the desired effort level becomes more costly to the worker.,3,2,ssc
We show that these rules induce behavior that has pro-social consequences even in cases where there are strong conflicts of interests among group members and where interactions with free information exchange fail.,3,2,ssc
"For if such a 'high-trust' society were characterized by the existence of many separate groups producing public goods with negative externalities for each other, the overall result would likely be worse than would have been the case had trust been low.",2,3,ssc
Tooby & Cosmides (1996) propose that the establishment of stable and friendly relationships between group members favoured the exchange of help when needed and thus reduced the risks of the situation described by the banker's paradox.,3,1,ssc
"Because of the partner design, this yields 18 independent observations for each treatment.",3,1,ssc
"Such patrols not only deter free riding in itself but also generate information needed for the punishment of free riders, which is determined by an executive committee on the group level chaired by the group leader.",2,1,ssc
Bargainers with a significant threat tend to threaten and fine more often.,1,3,ssc
""" 5 contexts lead actors to rely more on contributions to the group than competitive contexts, while competitive contexts lead actors to rely more on punishment of others than cooperative contexts.",3,2,ssc
"If both firms opt for the low Nash equilibrium price, though, market-level profits and wages will be minimized.",3,2,ssc
The discrepant levels of attention paid to music in relation to consumer behavior and employee or organizational behavior are most clear when considering retail workspaces because (i) customers and employees cohabit the locations and (ii) it is reasonable to expect that music that is selected to influence the behaviors of customers would have similar influences on employees.,1,2,ssc
More intelligent subjects were significantly more likely to vote for whichever of FS or IS was associated with higher earnings ex post.,1,3,ssc
I do not conserve energy because it benefits others at a cost to myself.,3,2,ssc
The fothfun mechanism thus leads to less cooperation than in the baseline case with no punishment if the detrimental effect of retaliatory punishment is greater than the positive norm-enforcing effect of punishment.,2,3,ssc
"In other words, those subjects who showed a greater parochialism effect for contributing showed a greater self-interest illusion when the gain for their group was a loss for the other group.",3,2,ssc
"If it is true that antisocial punishment is based on the intuitive system and especially likely executed by individuals with a proneness to sadistic tendencies, then the inhibition of the intuitive system should reduce antisocial punishment in individuals with a proneness to sadistic tendencies.",2,3,ssc
"In the game, a leader usually emerged and the leader's pleadings for cooperation were harder to ignore because all the players had experienced the results of greedy play.",3,2,ssc
"This was because, in the case of Colombia, their subsistence depends on the fishery, which is not ecologically productive.",2,3,ssc
"In other words, a dictator is more likely to make a fair offer if he/she expects the audience to observe their choice.",1,3,ssc
"These were participants with little or no experience from economic games, because, according to the SHH, there will be a negative deliberation effect on cooperation only for subjects with limited experience from economic games and other ""artificial lab environments"" (Rand et al., 2014).",2,3,ssc
The absence of two mtDNA mutations  in ND1 gene rules out the possibility of involvement of these mutations in early  onset diabetes in Pakistani population.,1,3,pubmed
Vildagliptin effectively improved glucose level with a significantly greater reduction in glycemic variability and hypoglycemia than glimepiride in patients with T2DM ongoing metformin therapy.,1,3,pubmed
Traffic noise exposure associated with higher risk of heart attack,1,3,press_release
"New data suggest that this difference may be explained by a higher risk of early deaths among patients undergoing HD with central venous catheters, according to a study appearing in an upcoming issue of the Journal of the American Society of Nephrology (JASN).",1,2,press_release
"A case-control study Online First doi 10.1136/jnnp-2012-302420] Chronic stress, prompted by major life stressors and type A personality traits, is linked to a high risk of stroke, finds research published online in the Journal of Neurology Neurosurgery and Psychiatry.",1,3,press_release
This study shows that different living conditions significantly affect the PCOS phenotype.,1,3,pubmed
"The dose-response of pregabalin for pain, PGIC, and sleep quality was demonstrated, highlighting the benefit of achieving the maximum recommended dose  of 300\\xa0mg/day for pDPN, 300-600\\xa0mg/day for PHN, and 300-450\\xa0mg/day for FM.",1,3,pubmed
"Our intervention did not result in a significant improvement in our primary outcome, the proportion of obese and overweight women who had gestational weight gain within IOM guidelines.",1,3,pubmed
"Daily consumption of 3\\xa0g of soluble fiber from 70\\xa0g\\xa0of oats leads to beneficial effects on the lipid parameters, specifically total cholesterol and low-density lipoprotein cholesterol in hypercholesterolemic Asian Indians.",1,3,pubmed
Risk of HIV treatment failure present even in those with low viral load,1,3,press_release
Heart failure risk lower in women who often eat baked broiled fish,1,3,press_release
"""The benefits of ramipril observed during the active period of the HOPE trial were maintained during posttrial follow-up for cardiovascular death, stroke, and hospitalization for heart failure.""",1,3,pubmed
"A new study from the Perelman School of Medicine at the University of Pennsylvania and the Naval Health Research Center has shown military service members who have trouble sleeping prior to deployments may be at greater risk of developing posttraumatic stress disorder (PTSD), depression and anxiety once they return home.",1,3,press_release
The effect of fasting on glucose was small and may not be clinically important.,1,2,pubmed
"Stosstherapy is a safe, cheap and effective method of treating nutritional rickets.",1,3,pubmed
"In the Latino/Hispanic population, albiglutide resulted in effective lowering of glucose and modest weight loss, and it was generally well tolerated.",1,3,pubmed
"Chinese women are less likely to develop cardiovascular disease if they have their first menstrual cycle or enter menopause later than their peers, according to a recent study accepted for publication in The Endocrine Society's Journal of Clinical Endocrinology & Metabolism (JCEM).",1,2,press_release
"In this controlled prospective study, metastatic SN patients with both a â©½10% probability of metastatic non-SN with the MSKCC nomogram and a Tenon  score â©½3.5 failed to identify patients at low risk of metastatic non-SN when completion ALND was not systematic.",1,3,pubmed
Hypertensive smoking women have an exceptionally high risk of a fatal brain bleeding,1,3,press_release
"Taking a long time to get pregnant may be linked to minor neurodevelopmental problems in the child, suggests a small study published online in the Fetal & Neonatal Edition of Archives of Disease in Childhood.",1,2,press_release
"Because of this, they may be at higher risk for premature renal failure, according to a study published in Cancer Epidemiology, Biomarkers & Prevention, a journal of the American Association for Cancer Research.",1,2,press_release
First detection of pregnancy protein in older people destined for Alzheimer s disease,1,3,press_release
"Colon cancer survivors whose diet is heavy in complex sugars and carbohydrate-rich foods are far more likely to have a recurrence of the disease than are patients who eat a better balance of foods, a new study by Dana-Farber Cancer Institute researchers indicates.",1,3,press_release
"It positively impacts resilience, QoL, ALI, and emotional distress.",1,3,pubmed
"After gastric bypass surgery, diabetes goes away for some people--often even before they lose much weight.",1,3,press_release
"Applying the description of the meso-oesophagus will create a better understanding of the oesophageal anatomy, leading to more adequate and reproducible surgery.",1,3,pubmed
Higher risk of maternal complications preterm deliveries for women undergoing multiple cesareans,1,3,press_release
"Children exposed to two or more anesthetics before age 3 had more than double the incidence of ADHD than children who had no exposure, says David Warner, M.D., a Mayo Clinic pediatric anesthesiologist and investigator on the observational study.",1,3,press_release
Trauma centers serving mostly white patients have lower death rates for patients of all races,1,3,press_release
Prompt diagnosis and  anticoagulation therapy led to favorable outcomes in most cases.,1,3,pubmed
"Therefore, a psychological screening and support is crucial for a good outcome of opioid therapy for chronic noncancer pain patients.",1,3,pubmed
Familial clustering among the husbands relatives demonstrates the fetal genomes importance in genesis of pre-eclampsia.,1,3,pubmed
Study adds to evidence on clot risks of non oral contraceptives,1,3,press_release
Patients who see preferred doctor less likely to go for emergency hospital admission,1,2,press_release
An evaluation of national data by UC Davis researchers has found that extra weight is not necessarily linked with a higher risk of death.,1,3,press_release
This study provides evidence to suggest that body contouring plays an important role in the weight loss patients journey and that patients need access to treatments.,1,3,pubmed
The establishment of an appropriate framework will effectively contribute to promoting the early detection and reducing the incidence of this disease in the population.,1,3,pubmed
Improving use of preconception care among publicly insured women with diabetes is critical to reducing disparities in outcomes.,1,3,pubmed
Patients who have STEMI heart attacks while hospitalized more likely to die,1,3,press_release
"While the study found a combined estimated risk for all participants of nearly19 percent, it found an even more elevated risk of recurrence of over 26 percent for male infants, and over 32 percent for infants with more than one older sibling with autism.",1,3,press_release
"The risk seems to be greatest among those aged between 15 and 44 when first admitted  to hospital for an epileptic seizure, the findings show.",1,3,press_release
Possibly the polyphenols and DF contributed to the beneficial effects.,1,2,pubmed
GISTs may represent another example of the obesity paradox in which obesity\\xa0seemingly provides a protective effect.,1,2,pubmed
High total serum cholesterol levels tend to increase graft failure rates whilst it did not influence implant failures.,1,2,pubmed
Patients infected with HIV have higher drop out rate for liver transplantation,1,3,press_release
"Regional forms of anesthesia - spinal or epidural (neuraxial) anesthesia and peripheral nerve blocks (PNB) - which only numb the area of the body that requires surgery, provide better pain control and faster rehabilitation and fewer complications than general anesthesia, research shows.",1,3,press_release
"Women who have a fear of childbirth spend longer in labour than women who have no such fear, suggests new research published today (27 June) in BJOG: An International Journal of Obstetrics and Gynaecology.",1,3,press_release
"Long-term ketogenic diet treatment stimulates liver parenchymal injury, hepatic steatosis and gallstone formation.",1,3,pubmed
"The obesogenic effect of p,p-DDE is a major determinant responsible for the association of p,p-DDE with LV mass.",1,3,pubmed
A significant difference in effect was found between patients with weight loss failure and weight regain.,1,3,pubmed
"One of the mechanisms by which TMD, particularly if supplemented with virgin olive oil, can exert health benefits is through changes in the transcriptomic response of genes related to cardiovascular risk.",1,2,pubmed
""" The lifestyle intervention Obeldicks light was effective in reducing degree of overweight, fat mass, waist circumference, and blood pressure  both at end of intervention and in a 12 months follow-up period.""",1,3,pubmed
"The satisfaction levels among a hospital's staff are closely linked to the quality of healthcare it provides, say a team of doctors from Imperial College London.",1,3,press_release
"""The results are consistent with gastrointestinal motility effects of TZP-101, supporting further  investigation of TZP-101 in the management of severe gastroparesis.""",1,2,pubmed
"""A higher weight gain contributed in a negative manner to the presence of dyslipidemias in these patients.""",1,2,pubmed
Modern methods of abortion are not linked with an increased risk of preterm birth,1,3,press_release
"IMT ameliorates pHDL index and significantly improves anti-oxidative  function, as measured by PON1.",1,3,pubmed
"Although many measures have been developed, they tend to be complex, labor intensive, have an unclear relationship with improved outcomes, and concentrate on processes of care rather than clinical outcomes.",1,3,press_release
"In what may be the largest study of sleep problems among individuals with multiple sclerosis (MS), researchers at UC Davis have found that widely undiagnosed sleep disorders may be at the root of the most common and disabling symptom of the disease: fatigue.",2,3,press_release
Study finds gout drug may reduce risk of death,2,1,press_release
"Hormone replacement therapy (HRT) taken regularly for six months after a knee or hip replacement seems to cut the risk of repeat surgery by around 40%, indicates a large population based study published online in the Annals of the Rheumatic Diseases.",2,3,press_release
These relations  are mediated in part by BMI.,2,1,pubmed
Increased titers of cows milk antibody before anti-TG2A and celiac disease indicates that subjects with celiac disease might have increased intestinal permeability in early life.,2,3,pubmed
"Treating 'brain tsunamis' or 'killer waves' could stop many victims of major head injury from suffering additional brain damage, a study published in Lancet Neurology has found.",2,1,press_release
"Lower plasma concentration of high-density lipoprotein cholesterol,  total antioxidant capacity, and Î±-tocopherol levels, and a dietary pattern that is low in fish and high in red meat might contribute to the cognition impairment  in older Chinese adults.",2,1,pubmed
Aortic valve replacement appears safe  effective in very elderly patients,2,3,press_release
Aflibercept and ranibizumab both appear to be effective for patients  showing no initial response to bevacizumab.,2,1,pubmed
"The findings of the study, conducted by scientists at the University of Cambridge, challenge evidence from earlier observational studies which suggest that higher concentrations of circulating vitamin D might prevent type 2 diabetes.",2,1,press_release
"The study found that 53.9 percent of the 2,671 mechanically ventilated patients screened met basic communication criteria and could potentially benefit from the use of assistive communication tools and speech language consultation.",2,3,press_release
Altering margin policies to follow either SSO-ASTRO or ABS guidelines would result in a modest reduction in the national re-excision rate.,2,3,pubmed
"The available evidence is in favour of weight loss for overweight/obese gout patients, with low, moderate and low quality of evidence for effects on sUA, achieving sUA target and gout attacks, respectively.",2,1,pubmed
The pedicled NSF seems to be helpful in avoiding the concentric growth of the granulomatous cyst epithelium while assuring ventilation and drainage of the cyst.,2,3,pubmed
"The flu jab seems to almost halve the risk of heart attacks in middle aged people with narrowed arteries, finds research published in the journal Heart.",2,1,press_release
Poor nutritional status is a predictor of lower FIM improvement in geriatric stroke patients.,3,1,pubmed
Cancer diagnosis later in life poses significant risk to offspring,3,1,press_release
Exercise intolerant and activity restricted children experienced larger increases in absolute BMI and BMI percentile than children with neither exercise intolerance nor activity restriction.,3,1,pubmed
"In addition, MTHFR A1298C polymorphism had a significant association with breast cancer in Caucasians.",3,1,pubmed
"The renal and cardiac TOD evolution, as well as the PAIx and CAIx, did not change in either group.",3,1,pubmed
"The paper's authors, from Dalhousie University, reviewed nine studies with a total sample of 49,411 people to determine whether the consumption of cannabis increases the risk of a motor vehicle collision.",3,1,press_release
"Among participants with severe obesity, there was substantial weight loss 3 years after bariatric surgery, with the majority experiencing maximum weight change during the first year.",3,1,pubmed
Changes in BNP levels were associated with changes in the estimated daily salt excretion in outpatients with compensated heart failure.,3,1,pubmed
Study finds socio economic status impact mortality rates for certain stroke in US,3,1,press_release
These findings suggest that GG SNP at IL-6: rs1800795 may indicate an increased risk of metastasis of primary breast cancer.,3,2,pubmed
High BMI and alcohol consumption and abstinence are risk factors for  CLD in post-menopausal women.,3,1,pubmed
Clinical success was best achieved in patients undergoing closure of perforations or leaks when OTSC placement was used for primary or rescue therapy.,3,1,press_release
Ultraprocessed food consumption was associated with a higher risk of overweight and obesity in a prospective cohort of Spanish middle-aged adult university graduates.,3,1,pubmed
This risk determination identifies a potentially modifiable risk factor for early readmission.,3,1,pubmed
Low newborn birth weight was related to the deteriorated nutritional status in terms of low anthropometric and abnormal biochemical measures.,3,1,pubmed
Patients with body mass index >40\\xa0kg/m2 have greater than twice the risk for complications with odds ratios increasing with increasing body mass index class.,3,1,pubmed
"Variant AA genotype, which showed reduced CETP levels and higher HDL-C levels, is paradoxically associated with increased risk of CHD.",3,1,pubmed
The results of this study indicate that CC genotype of rs2108552 and T-C-T-C haplotypes in Numb gene is a possible risk genetic marker and G allele and G-G-T-C haplotypes is a possible protective genetic marker for CAD in male Han Chinese.,3,1,pubmed
"Moreover, we were unable to confirm  the hypothesis that wine drinking is associated with an elevation of HDL (Tab.7, Fig. 1, Ref.30).",3,1,pubmed
"Few studies have addressed the topic, and the results of these studies provide only limited support for an increased risk of post-operative cognitive dysfunction in patients who are obese.",3,2,pubmed
"Use of exome sequencing improved the ability to identify the underlying gene mutations in patients with biochemically defined defects affecting multiple mitochondrial respiratory chain complexes (enzymes that are involved in basic energy production), according to a study in the July 2 issue of JAMA.",3,1,press_release
"On the basis of a systematic review of studies that were judged to be of high or medium quality, there is an indication that some nutritional factors seem to be associated with an increased fracture risk among children.",3,2,pubmed
"""Chinese adolescents with PCOS manifest clinical and metabolic features similar to those of adult Chinese women with PCOS except for the increased prevalence of hyperandrogenism and insulin resistance.""",3,1,pubmed
"Despite their overall low risk, procedures to treat kidney stones lead to complications that require hospitalization or emergency care for one in seven patients, according to researchers at Duke Medicine.",3,1,press_release
Removal of uterine myoma was not associated with decreased risk of breast cancer.,3,1,pubmed
"Three quarters of pregnant women take sick leave from work but employers can help reduce this through flexible work adjustments, suggests a new study published today (7 November) in BJOG: An International Journal of Obstetrics and Gynaecology.",3,2,press_release
Variation in unexpected complication rates is more likely to be related to hospital rather than patient characteristics in Florida.,3,1,pubmed
"An improvement can be observed: a transition from a suspicion about  special diet management to an appropriate and responsible management of meals for children and young people suffering from this specific condition.""",3,1,pubmed
"LDL-C levels\\xa0<25 or\\xa0<15 mg/dl on alirocumab were not associated with an increase in overall treatment-emergent adverse event rates or neurocognitive events, although cataract incidence appeared to be\\xa0increased\\xa0in the group achieving LDL-C levels\\xa0<25 mg/dl.",3,1,pubmed
"In the UK, the complication rate associated with surgical removal of a renal oncocytoma was not negligible.",3,1,pubmed
The clinical and biochemical indices differed significantly between  women diagnosed with PCOS living in cities and villages.,3,1,pubmed
Long term use of prescription based painkillers increases the risk of depression  SLU researcher finds,3,1,press_release
Emerging research shows that prolonged sitting has significant health consequences---and the new Northwestern study suggests that being a dedicated exerciser doesn't prevent women from spending too much of their day sitting.,3,1,press_release
Associations were evident in both sexes and consistently more pronounced among women than men.,3,1,pubmed
The researchers were testing the contentious claim that exposure to levels of fluoride used in community water fluoridation is toxic to the developing brain and can cause IQ deficits.,3,1,press_release
"With the use of molecular subtype classification including the Ki-67  proliferation index, suspicious nodes detected in luminal B tumors by MRI are likely to have positive findings and warrant preoperative tissue sampling.",3,1,pubmed
"Physicians were more likely to prescribe high-intensity statins in statin-naÃ¯ve patients as compared with intensifying existing statin therapy, and  their prescription pattern was lower after CVA vs ACS.",3,1,pubmed
In-flight blood transfusions increase survival rates and improve trauma patient outcomes,3,1,press_release
"""It's reasonable to assume that cerebrovascular damage in the head caused by a traumatic brain injury can trigger either a hemorrhagic stroke when a blood vessel bursts inside the brain] or an ischemic stroke when an artery in the brain is blocked],"" said Herng-Ching Lin, Ph.D., senior study author and professor at the School of Health Care Administration, College of Medicine, Taipei Medical University in Taiwan.",3,2,press_release
Longer stay in hospital ICU has lasting impact on quality of life,3,1,press_release
Early treatment response  directly correlated with overall change in BCVA.,3,1,pubmed
"In this 2-year prospective study in a hospital-based cohort of high-risk hemodialysis patients, elevated CRP, but not raised PCT, was associated with increased mortality.",3,1,pubmed
"Based on the comparatively smaller observed differences associated with menopausal status than with chronological aging, the  significance of a more unfavorable lipid profile in a later reproductive stage may be less obvious than previously thought.",3,2,pubmed
"When FEA is found in association with LN at biopsy, surgical excision yields more frequently ADH than pure FEA thus warranting close surveillance or even surgical  excision.",3,1,pubmed
This has resulted in many more veterans returning with genitourinary (GU) injuries.,3,1,press_release
"More than three-fourths of the patients in this study had a history of smoking, which is considered a triggering or aggravating factor for PPP.",3,1,pubmed
