sentence,True Label,Predicted Label,Source
"Information enables players to decide whether to trust the others in the group and cooperate, once they are aware that cooperation can achieve a superior outcome.",2,3,ssc
"Replications with people from other age groups or nations would help to establish the generalizability of these findings, which is important to do because researchers have suggested that apologies and offers of compensation are species-typical ways of promoting forgiveness (e.g., fcfullough, 2008;fcfullough, Kurzban, et al., 2010).",1,2,ssc
"As a consequence, confounding effects such as reputation building through punishment or strategic reasons for punishing to increase cooperation in repeated interactions, as shown by Gächter et al. (2004) and Gächter and Herrmann (2009), can be excluded and a clear theoretical benchmark for standard preferences can be derived.",1,3,ssc
"Furthermore, the highest contributor in the group earned more prestige when the good was unattainable, suggesting an association between status and conspicuous cooperation (Hypothesis 3).",1,2,ssc
"Fear is associated with the goal to avoid risk, which in a social dilemma induces a tendency to avoid exploitation or loss.",1,3,ssc
The employers appeal to the strong reciprocity of the workers by being more generous as  the desired effort level becomes more costly to the worker.,3,1,ssc
"As such, people from different societies will tend to express different preferences and beliefs: one should be able to measure between-group variation.",2,1,ssc
We show that these rules induce behavior that has pro-social consequences even in cases where there are strong conflicts of interests among group members and where interactions with free information exchange fail.,3,2,ssc
Tooby & Cosmides (1996) propose that the establishment of stable and friendly relationships between group members favoured the exchange of help when needed and thus reduced the risks of the situation described by the banker's paradox.,3,2,ssc
"Because of the partner design, this yields 18 independent observations for each treatment.",3,1,ssc
"Such patrols not only deter free riding in itself but also generate information needed for the punishment of free riders, which is determined by an executive committee on the group level chaired by the group leader.",2,1,ssc
"If a player died during a wave, the character would respawn during the next wave.",2,3,ssc
Bargainers with a significant threat tend to threaten and fine more often.,2,3,ssc
"If both firms opt for the low Nash equilibrium price, though, market-level profits and wages will be minimized.",3,2,ssc
The fothfun mechanism thus leads to less cooperation than in the baseline case with no punishment if the detrimental effect of retaliatory punishment is greater than the positive norm-enforcing effect of punishment.,2,3,ssc
"However, if each individual attempts to maximize his or her self-interest, the collective outcome will be less desirable than if each individual attempts to maximize the collective interest (Dawes, 1980).",3,2,ssc
"However, because condition SQ6 is played after the subject gains much experience with the task, and in particular after experiencing the fifth position in condition SQ5, we anticipate fewer violations of the model in condition SQ6 than in condition SQ in experiment 1. METHOD Subjects.",2,3,ssc
"In the game, a leader usually emerged and the leader's pleadings for cooperation were harder to ignore because all the players had experienced the results of greedy play.",3,1,ssc
"This was because, in the case of Colombia, their subsistence depends on the fishery, which is not ecologically productive.",2,1,ssc
"In other words, a dictator is more likely to make a fair offer if he/she expects the audience to observe their choice.",1,2,ssc
"However, there are also reasons to think that the treatment will lead to low contributions, since the reaction to the comprehension/advice combination may be defensive.",2,1,ssc
